Player,AB,R,H,1B,2B,3B,HR,RBI,BB,K,SB,CS,AVG,OBP,SLG,FPTS
"Enrique Hernandez 1B,3B,OF | LAD ",353,44,80,53,16,0,11,46,26,81,1,0,0.227,0.278,0.365,248
Tyrone Taylor OF | NYM,287,39,67,40,19,2,6,32,14,70,11,1,0.233,0.282,0.376,247
"Dylan Moore 2B,OF | PHI ",244,35,49,26,12,2,9,29,30,87,18,5,0.201,0.3,0.377,246
Jack Suwinski OF | LAD ,281,36,56,30,12,1,13,37,42,103,10,1,0.199,0.31,0.388,244
Victor Scott II OF | STL,272,34,56,40,12,0,4,24,24,76,20,2,0.206,0.283,0.294,244
"Ramon Urias 2B,3B | STL ",328,39,83,56,16,2,9,41,26,81,2,1,0.253,0.314,0.396,243
Sean Murphy C | ATL ,298,39,65,36,13,0,16,46,37,90,0,0,0.218,0.323,0.423,242
Dominic Smith 1B | ATL ,335,39,85,59,18,0,8,38,30,70,1,1,0.254,0.323,0.379,241
Jordan Beck OF | COL,354,38,86,58,16,2,10,33,28,120,13,4,0.243,0.301,0.384,239
Heriberto Hernandez OF | MIA,256,40,68,45,12,1,10,45,31,77,1,1,0.266,0.347,0.438,236
Patrick Bailey C | SF,379,41,87,61,17,2,7,50,30,111,2,0,0.23,0.286,0.34,234
"Jose Iglesias 2B,3B,SS | SD ",288,34,80,62,14,0,4,31,18,48,6,2,0.278,0.335,0.368,234
Chas McCormick OF | CHC ,248,35,61,42,9,1,9,34,22,73,10,4,0.246,0.318,0.399,231
"Jared Triolo 1B,3B,SS | PIT ",302,37,71,52,12,1,6,30,35,86,9,1,0.235,0.319,0.341,229
Hunter Goodman C | COL,274,34,68,36,14,3,15,48,15,80,1,1,0.248,0.29,0.485,229
Esteury Ruiz OF | MIA ,175,20,43,30,9,1,3,19,9,42,25,6,0.246,0.304,0.36,224
Johan Rojas OF | PHI ,213,31,54,42,8,2,2,24,10,50,17,2,0.254,0.295,0.338,223
