Player,AB,R,H,1B,2B,3B,HR,RBI,BB,K,SB,CS,AVG,OBP,SLG,FPTS
Christian Encarnacion-Strand 1B | CIN ,380,47,93,55,19,1,18,55,33,101,2,0,0.245,0.31,0.442,312
Dominic Smith 1B | ATL ,392,45,99,64,23,0,12,55,36,90,3,1,0.253,0.32,0.403,312
"Mauricio Dubon 2B,3B,SS,OF | ATL ",422,48,102,68,27,0,7,44,27,59,4,1,0.242,0.286,0.355,311
Endy Rodriguez 1B | PIT,376,47,97,61,22,1,13,50,40,94,3,1,0.258,0.333,0.425,310
"Edmundo Sosa 2B,3B | PHI",391,48,98,63,18,4,13,51,22,98,7,2,0.251,0.299,0.417,310
Will Wagner 3B | SD,370,50,101,66,25,1,9,44,34,84,4,1,0.273,0.341,0.419,307
Johan Rojas OF | PHI ,328,43,80,61,11,3,5,34,20,84,23,3,0.244,0.292,0.342,306
J.J. Bleday OF | CIN ,372,57,85,45,23,2,15,46,44,102,2,2,0.229,0.313,0.422,306
"Liam Hicks C,1B | MIA",373,43,94,65,17,1,11,51,42,84,3,0,0.252,0.34,0.391,306
Michael Toglia 1B | CIN ,375,48,82,44,16,2,20,54,50,138,7,1,0.219,0.312,0.432,306
"Willi Castro 2B,3B,OF | COL ",366,59,94,61,18,5,10,38,32,109,9,5,0.257,0.33,0.415,305
Luken Baker DH | ARI ,311,45,81,47,16,2,16,53,41,87,5,1,0.261,0.338,0.479,304
Jared Young DH | NYM,314,46,80,45,16,1,18,49,37,90,4,1,0.255,0.339,0.484,304
Alek Thomas OF | ARI ,458,55,113,79,20,3,11,44,27,125,9,5,0.247,0.293,0.376,303
Lars Nootbaar OF | STL ,390,49,94,60,19,3,12,41,48,96,5,4,0.241,0.329,0.397,302
Graham Pauley 3B | MIA ,375,47,92,57,21,2,12,40,41,94,6,1,0.245,0.323,0.408,301
Ildemaro Vargas 2B | ARI ,331,42,89,68,12,1,8,47,26,56,7,3,0.269,0.326,0.384,301
Grant McCray OF | SF,370,49,87,54,15,5,13,43,32,116,12,2,0.235,0.299,0.408,300
Dalton Rushing C | LAD,382,48,93,61,18,1,13,57,35,106,2,0,0.243,0.309,0.398,299
Kevin Alcantara OF | CHC ,313,45,78,47,16,2,13,41,30,80,9,2,0.249,0.321,0.438,298
Carson Kelly C | CHC ,373,45,92,62,15,1,14,51,39,88,1,0,0.247,0.327,0.405,297
Sung-Mun Song 2B | SD ,319,44,88,60,18,1,9,40,25,64,8,3,0.276,0.334,0.423,296
Rafael Marchan C | PHI,326,45,85,53,18,1,13,53,28,77,1,0,0.261,0.326,0.442,294
Luis Campusano DH | SD,373,48,92,58,21,1,12,50,33,85,2,0,0.247,0.313,0.405,293
Jorge Barrosa OF | ARI ,322,46,78,48,16,2,12,44,30,85,8,2,0.242,0.304,0.416,293
Keibert Ruiz C | WAS ,437,40,108,76,22,0,10,51,16,62,1,1,0.247,0.279,0.366,293
Nick Yorke 2B | PIT ,322,43,85,58,15,1,11,38,27,74,9,2,0.264,0.324,0.419,290
Brandon Lockridge OF | MIL ,324,45,77,51,15,2,9,41,26,89,13,3,0.238,0.298,0.38,289
Jordan Walker OF | STL,420,45,97,64,18,3,12,51,32,136,11,3,0.231,0.29,0.374,288
"Miguel Rojas 2B,3B,SS | LAD ",322,42,87,60,18,1,8,36,30,58,7,1,0.27,0.334,0.407,288
Dane Myers OF | CIN ,376,41,86,60,14,1,11,40,34,120,19,6,0.229,0.3,0.359,285
Lourdes Gurriel OF | ARI ,319,36,83,55,15,1,12,47,19,58,6,2,0.26,0.305,0.426,284
James McCann C | ARI,322,49,83,54,15,0,14,48,29,86,1,0,0.258,0.326,0.435,282
Tyler Black 1B | MIL ,317,42,81,52,17,1,11,45,33,80,5,1,0.256,0.332,0.42,281
Joey Bart C | PIT,375,44,98,66,18,1,13,54,43,112,1,1,0.261,0.35,0.419,280
Blaine Crim 1B | COL ,309,45,80,48,17,1,14,49,31,88,2,1,0.259,0.329,0.456,279
Gary Sanchez C | MIL ,321,42,80,53,13,1,13,58,27,88,1,0,0.249,0.319,0.417,276
Yohel Pozo C | STL ,387,45,94,63,17,1,13,46,29,87,1,0,0.243,0.3,0.393,276
Akil Baddoo OF | MIL ,320,43,73,47,14,2,10,41,33,89,10,2,0.228,0.304,0.378,276
Mike Siani OF | LAD,317,42,76,58,11,1,6,32,30,94,18,3,0.24,0.312,0.338,275
Nathan Church OF | STL ,313,42,78,50,15,2,11,40,26,84,8,2,0.249,0.312,0.415,271
"Ramon Urias 2B,3B | STL ",381,40,92,62,18,1,11,48,33,94,3,1,0.241,0.303,0.381,271
Jonah Heim C | ATL,392,41,90,63,15,0,12,49,31,82,2,0,0.23,0.288,0.36,271
Freddy Fermin C | SD,389,47,110,83,19,0,8,37,27,82,2,1,0.283,0.333,0.393,269
"Thomas Saggese 2B,SS | STL ",392,42,106,76,24,1,5,42,28,103,7,1,0.27,0.321,0.375,268
Patrick Bailey C | SF,374,46,94,65,19,2,8,53,30,109,2,0,0.251,0.308,0.377,266
"Nolan Gorman 2B,3B | STL ",380,49,84,48,17,2,17,50,46,147,3,1,0.221,0.305,0.41,264
Otto Kemp 3B | PHI ,322,43,80,51,17,1,11,45,26,89,5,4,0.248,0.316,0.41,263
MJ Melendez OF | NYM,395,47,81,42,20,2,17,42,38,129,5,3,0.205,0.281,0.395,263
Ronny Mauricio 3B | NYM ,319,43,78,51,13,1,13,37,31,87,7,1,0.244,0.316,0.414,262
Michael Conforto OF | CHC ,367,47,82,46,22,1,13,40,41,102,1,0,0.223,0.312,0.395,258
Eric Haase C | SF ,313,43,80,50,16,1,13,47,25,94,2,0,0.256,0.321,0.438,258
Tyrone Taylor OF | NYM,322,42,75,46,20,3,6,35,21,84,10,2,0.233,0.291,0.37,258
Joey Wiemer OF | WAS,323,41,79,51,15,2,11,41,23,91,7,2,0.245,0.294,0.406,256
Vimael Machin 3B | COL ,312,40,78,51,15,2,10,39,26,78,5,1,0.25,0.314,0.407,254
Braxton Fulford C | COL,313,40,79,51,15,3,10,46,25,88,3,1,0.252,0.312,0.415,252
Jose Tena 3B | WAS,322,39,83,54,21,3,5,38,26,81,7,2,0.258,0.315,0.388,252
Henry Davis C | PIT,371,44,81,54,14,0,13,41,32,102,3,2,0.218,0.293,0.361,251
Santiago Espinal 3B | LAD ,332,36,87,70,12,0,5,31,27,48,6,1,0.262,0.319,0.343,248
Brett Wisely 2B | ATL,328,33,80,53,20,1,6,44,24,75,6,3,0.244,0.3,0.366,246
Jerar Encarnacion OF | SF,253,35,65,40,12,2,11,38,20,67,7,1,0.257,0.314,0.451,244
Kyle Farmer 2B | ATL ,332,36,79,48,23,0,8,42,25,71,2,1,0.238,0.303,0.38,243
